names;Value;Units;Description
T_ref;293.15;K;Temperature_for_which_parameters_are_given
z;4.1674;n/a;zoom_factor_Lm
F_m;105.6;Cmol_d.cm2;maximum_search_rate
kap_X;0.9485;n/a;digestion_efficiency_of_food_to_reserves
kap_P;0.0493;n/a;defacation_efficiency
v;0.060999;cm_d;energy_conductance
kap;0.99649;n/a;allocation_fraction_to_soma
kap_R;0.95;n/a;reproduction_efficiency
p_M;2.6463;J_d.cm3;vol-specific_somatic_maintenance
p_T;0;J_d.cm2;surface-specific_somatic_maintenance
k_J;0.00019059;1_d;maturity_maintenance_rate_coefficien
E_G;2348;J_cm3;specific_cost_for_structure
E_Hb;2.317E-07;J;Maturity_at_birth
E_Hj;3.642E-07;J;Maturity_at_metamorphosis
E_Hp;5.578E-01;J;Maturity_at_puberty
h_a;4.282E-09;1_d2;Weibull_aging_acceleration
s_G;1.00E-04;n/a;Gompertz_stress_coefficient
T_A;7022;K;Arrhenius_Temperature
del_M;0.34144;n/a;shape_coefficient
d_X;0.09;gDW_cm3;food_specific_density
d_V;0.2;gDW_cm3;structure_specific_density
d_E;0.2;gDW_cm3;energy_reserves_specify_density
d_P;0.09;gDW_cm3;faeces_specific_density
mu_X;697000;J_mol;food_chemical_potential
mu_V;5.00E+05;J_mol;structure_chemical_potential
mu_E;550000;J_mol;energy_reserves_chemical_potential
mu_P;480000;J_mol;faeces_chemical_potential
